Vehicle,MSRP,Dealer Cost,Engine Size,Number of Cylinders,Horsepower,MPG - City,MPG - Hwy,Weight,Wheelbase,Length,Width,Drive Wheels,Vehicle Type
Chevrolet Aveo 4dr,11690,10965,1.6,4,103,28,34,2370,98,167,66,FWD,Sedan
Chevrolet Aveo LS 4dr hatch,12585,11802,1.6,4,103,28,34,2348,98,153,66,FWD,Sedan
Chevrolet Cavalier 2dr,14610,13697,2.2,4,140,26,37,2617,104,183,69,FWD,Sedan
Chevrolet Cavalier 4dr,14810,13884,2.2,4,140,26,37,2676,104,183,68,FWD,Sedan
Chevrolet Cavalier LS 2dr,16385,15357,2.2,4,140,26,37,2617,104,183,69,FWD,Sedan
Dodge Neon SE 4dr,13670,12849,2,4,132,29,36,2581,105,174,67,FWD,Sedan
Dodge Neon SXT 4dr,15040,14086,2,4,132,29,36,2626,105,174,67,FWD,Sedan
Ford Focus ZX3 2dr hatch,13270,12482,2,4,130,26,33,2612,103,168,67,FWD,Sedan
Ford Focus LX 4dr,13730,12906,2,4,110,27,36,2606,103,168,67,FWD,Sedan
Ford Focus SE 4dr,15460,14496,2,4,130,26,33,2606,103,168,67,FWD,Sedan
Ford Focus ZX5 5dr,15580,14607,2,4,130,26,33,2691,103,168,67,FWD,Sedan
Honda Civic DX 2dr,13270,12175,1.7,4,115,32,38,2432,103,175,67,FWD,Sedan
Honda Civic HX 2dr,14170,12996,1.7,4,117,36,44,2500,103,175,67,FWD,Sedan
Honda Civic LX 4dr,15850,14531,1.7,4,115,32,38,2513,103,175,68,FWD,Sedan
Hyundai Accent 2dr hatch,10539,10107,1.6,4,103,29,33,2255,96,167,66,FWD,Sedan
Hyundai Accent GL 4dr,11839,11116,1.6,4,103,29,33,2290,96,167,66,FWD,Sedan
Hyundai Accent GT 2dr hatch,11939,11209,1.6,4,103,29,33,2339,96,167,66,FWD,Sedan
Hyundai Elantra GLS 4dr,13839,12781,2,4,138,26,34,2635,103,178,68,FWD,Sedan
Hyundai Elantra GT 4dr,15389,14207,2,4,138,26,34,2635,103,178,68,FWD,Sedan
Hyundai Elantra GT 4dr hatch,15389,14207,2,4,138,26,34,2698,103,178,68,FWD,Sedan
Kia Optima LX 4dr,16040,14910,2.4,4,138,23,30,3281,106,186,72,FWD,Sedan
Kia Rio 4dr manual,10280,9875,1.6,4,104,26,33,2403,95,167,66,FWD,Sedan
Kia Rio 4dr auto,11155,10705,1.6,4,104,25,32,2458,95,167,66,FWD,Sedan
Kia Spectra 4dr,12360,11630,1.8,4,124,24,32,2661,101,178,68,FWD,Sedan
Kia Spectra GS 4dr hatch,13580,12830,1.8,4,124,24,32,2686,101,178,68,FWD,Sedan
Kia Spectra GSX 4dr hatch,14630,13790,1.8,4,124,24,32,2697,101,178,68,FWD,Sedan
Mazda3 i 4dr,15500,14525,2,4,148,,,2696,,,,FWD,Sedan
Mini Cooper,16999,15437,1.6,4,115,28,37,2524,97,143,67,FWD,Sedan
Mitsubishi Lancer ES 4dr,14622,13751,2,4,120,,,2656,102,181,67,FWD,Sedan
Mitsubishi Lancer LS 4dr,16722,15718,2,4,120,,,2795,102,181,67,FWD,Sedan
Nissan Sentra 1.8 4dr,12740,12205,1.8,4,126,28,35,2513,100,178,67,FWD,Sedan
Nissan Sentra 1.8 S 4dr,14740,13747,1.8,4,126,28,35,2581,100,178,67,FWD,Sedan
Pontiac Sunfire 1SA 2dr,15495,14375,2.2,4,140,24,33,2771,104,182,68,FWD,Sedan
Saturn Ion1 4dr,10995,10319,2.2,4,140,26,35,2692,103,185,67,FWD,Sedan
Saturn lon2 4dr,14300,13393,2.2,4,140,26,35,2692,103,185,67,FWD,Sedan
Saturn lon3 4dr,15825,14811,2.2,4,140,26,35,2692,103,185,67,FWD,Sedan
Saturn lon2 quad coupe 2dr,14850,13904,2.2,4,140,26,35,2751,103,185,68,FWD,Sedan
Saturn lon3 quad coupe 2dr,16350,15299,2.2,4,140,26,35,2751,103,185,68,FWD,Sedan
Scion xA 4dr hatch,12965,12340,1.5,4,108,32,38,2340,93,154,67,FWD,Sedan
Suzuki Aeno S 4dr,12884,12719,2.3,4,155,25,31,2676,98,171,68,FWD,Sedan
Suzuki Aerio LX 4dr,14500,14317,2.3,4,155,25,31,2676,98,171,68,FWD,Sedan
Suzuki Forenza S 4dr,12269,12116,2,4,119,24,31,2701,102,177,68,FWD,Sedan
Suzuki Forenza EX 4dr,15568,15378,2,4,119,22,30,2756,102,177,68,FWD,Sedan
Toyota Corolla CE 4dr,14085,13065,1.8,4,130,32,40,2502,102,178,67,FWD,Sedan
Toyota Corolla S 4dr,15030,13650,1.8,4,130,32,40,2524,102,178,67,FWD,Sedan
Toyota Corolla LE 4dr,15295,13889,1.8,4,130,32,40,2524,102,178,67,FWD,Sedan
Toyota Echo 2dr manual,10760,10144,1.5,4,108,35,43,2035,93,163,65,FWD,Sedan
Toyota Echo 2dr auto,11560,10896,1.5,4,108,33,39,2085,93,163,65,FWD,Sedan
Toyota Echo 4dr,11290,10642,1.5,4,108,35,43,2055,93,163,65,FWD,Sedan
Buick Century Custom 4dr,22180,20351,3.1,6,175,20,30,3353,109,195,73,FWD,Sedan
Chevrolet Impala 4dr,21900,20095,3.4,6,180,21,32,3465,111,200,73,FWD,Sedan
Chevrolet Malibu 4dr,18995,17434,2.2,4,145,24,34,3174,106,188,70,FWD,Sedan
Chevrolet Malibu LS 4dr,20370,18639,3.5,6,200,22,30,3297,106,188,70,FWD,Sedan
Chevrolet Monte Carlo LS 2dr,21825,20026,3.4,6,180,21,32,3340,111,198,73,FWD,Sedan
Chrysler PT Cruiser 4dr,17985,16919,2.4,4,150,22,29,3101,103,169,67,FWD,Sedan
Chrysler PT Cruiser Limited 4dr,22000,20573,2.4,4,150,22,29,3105,103,169,67,FWD,Sedan
Chrysler Sebring 4dr,19090,17805,2.4,4,150,22,30,3173,108,191,71,FWD,Sedan
Chrysler Sebring Touring 4dr,21840,20284,2.7,6,200,21,28,3222,108,191,71,FWD,Sedan
Dodge Intrepid SE 4dr,22035,20502,2.7,6,200,21,29,3469,113,204,75,FWD,Sedan
Dodge Stratus SXT 4dr,18820,17512,2.4,4,150,21,28,3182,108,191,71,FWD,Sedan
Dodge Stratus SE 4dr,20220,18821,2.4,4,150,21,28,3175,108,191,71,FWD,Sedan
Ford Focus SVT 2dr,19135,17878,2,4,170,21,28,2750,103,168,67,FWD,Sedan
Ford Taurus LX 4dr,20320,18881,3,6,155,20,27,3306,109,198,73,FWD,Sedan
Ford Taurus SES Duratec 4dr,22735,20857,3,6,201,19,26,3313,109,198,73,FWD,Sedan
Honda Accord LX 2dr,19860,17924,2.4,4,160,26,34,2994,105,188,71,FWD,Sedan
Honda Accord EX 2dr,22260,20080,2.4,4,160,26,34,3047,105,188,71,FWD,Sedan
Honda Civic EX 4dr,17750,16265,1.7,4,127,32,37,2601,103,175,68,FWD,Sedan
Honda Civic Si 2dr hatch,19490,17849,2,4,160,26,30,2782,101,166,67,FWD,Sedan
Honda Civic Hybrid 4dr manual (gas/electric),20140,18451,1.4,4,93,46,51,2732,103,175,68,FWD,Sedan
Honda Insight 2dr (gas/electric),19110,17911,2,3,73,60,66,1850,95,155,67,FWD,Sedan
Hyundai Sonata GLS 4dr,19339,17574,2.7,6,170,19,27,3217,106,187,72,FWD,Sedan
Hyundai Sonata LX 4dr,20339,18380,2.7,6,170,19,27,3217,106,187,72,FWD,Sedan
Kia Optima LX V6 4dr,18435,16850,2.7,6,170,20,27,3279,106,186,72,FWD,Sedan
Mazda3 s 4dr,17200,15922,2.3,4,160,,,2762,,,,FWD,Sedan
Mazda6 i 4dr,19270,17817,2.3,4,160,24,32,3042,105,187,70,FWD,Sedan
Mercury Sable GS 4dr,21595,19848,3,6,155,20,27,3308,109,200,73,FWD,Sedan
Mini Cooper S,19999,18137,1.6,4,163,25,34,2678,97,144,67,FWD,Sedan
